Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6,Class,Health,Mana,Speed,Physical_Protection,Magical_Protection
Joust,Nut,5,10,3,,,,,,,Hunter,0.5357142857142857,0.5,0.5,0.40476190476190477,0.5
Joust,Nut,7,3,4,,,,,,,Hunter,0.5357142857142857,0.5,0.5,0.40476190476190477,0.5
Joust,Geb,0,5,1,,,,,,,Guardian,0.75,0.3857142857142857,0.10000000000000003,0.8333333333333333,1.0
Joust,Chiron,1,9,3,,,,,,,Hunter,0.3928571428571429,0.48571428571428577,0.9,0.35714285714285715,0.5
Arena,Erlang_Shen,1,6,16,,,,,,,Warrior,0.5714285714285714,0.4714285714285714,0.7000000000000001,0.6904761904761905,0.75
Joust,Tyr,4,4,8,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Arachne,2,11,4,,,,,,,Assassin,0.2857142857142857,0.44285714285714284,0.7000000000000001,0.40476190476190477,0.5
Joust,Arachne,4,8,6,,,,,,,Assassin,0.2857142857142857,0.44285714285714284,0.7000000000000001,0.40476190476190477,0.5
Joust,Ra,4,8,3,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Assault,Ganesha,1,7,10,,,,,,,Guardian,0.6428571428571429,0.41428571428571426,0.10000000000000003,0.8809523809523809,1.0
Joust,Tyr,3,4,2,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Vulcan,0,5,7,,,,,,,Mage,0.0,0.5428571428571428,0.10000000000000003,0.40476190476190477,0.5
Joust,Sylvanus,3,2,4,,,,,,,Guardian,0.75,0.3857142857142857,0.5,0.8333333333333333,1.0
Joust,Sylvanus,1,10,6,,,,,,,Guardian,0.75,0.3857142857142857,0.5,0.8333333333333333,1.0
